"","associated_gene","Mouse","Fetal","Adult","Human"
"337","AP1M1",2,1,NA,1
"338","AP2A2",2,NA,NA,NA
"339","AP2B1",1,NA,NA,NA
"340","AP2M1",NA,11,2,1
"341","AP3B2",4,NA,1,1
"342","AP3D1",1,NA,NA,NA
"343","AP4B1",NA,NA,1,1
"344","AP4M1",2,NA,NA,NA
"345","AP5M1",1,NA,NA,NA
"346","AP5S1",1,NA,NA,NA
"347","AP5Z1",2,NA,NA,NA
"348","APAF1",3,NA,NA,NA
"349","APBA3",2,NA,NA,NA
"350","APBB1",5,3,3,6
"351","APBB3",2,1,1,2
"352","APBB3_SRA1",NA,NA,1,1
"353","APEH",1,NA,NA,NA
"354","APEX1",1,3,NA,3
"355","APH1A",3,NA,NA,NA
"356","API5",1,1,NA,1
"357","APIP",1,NA,NA,NA
"358","APLF",1,NA,NA,NA
"359","APLP1",5,6,1,6
"360","APLP2",3,NA,1,1
"361","APOE",3,NA,1,1
"362","APOLD1",NA,2,NA,2
"363","APPL2",2,NA,NA,NA
"364","APRT",2,NA,NA,2
"365","AQP4",NA,NA,1,1
"366","ARAF",4,1,1,1
"367","ARC",2,NA,NA,NA
"368","AREL1",5,NA,NA,NA
"369","ARF1",1,NA,NA,NA
"370","ARF3",1,NA,NA,NA
"371","ARF5",3,1,NA,1
"372","ARFGAP1",1,2,4,5
"373","ARFGAP2",1,NA,NA,NA
"374","ARFGAP3",2,NA,NA,NA
"375","ARFIP2",1,1,1,3
"376","ARFRP1",2,1,2,3
"377","ARG2",NA,NA,NA,1
"378","ARHGAP1",1,NA,NA,NA
"379","ARHGAP21",NA,1,1,2
"380","ARHGAP22",1,NA,NA,NA
"381","ARHGAP27",1,NA,NA,NA
"382","ARHGAP27P1-BPTFP1-KPNA2P3",NA,NA,1,1
"383","ARHGAP31",1,NA,NA,NA
"384","ARHGAP32",1,NA,NA,NA
"385","ARHGAP33",2,2,1,4
"386","ARHGAP39",1,1,NA,1
"387","ARHGAP44",NA,NA,1,1
"388","ARHGAP9",NA,NA,1,1
"389","ARHGDIA",1,1,1,1
"390","ARHGDIG",3,NA,1,1
"391","ARHGEF1",3,NA,NA,1
"392","ARHGEF10",4,NA,NA,NA
"393","ARHGEF12",2,NA,NA,NA
"394","ARHGEF15",2,NA,NA,NA
"395","ARHGEF17",1,NA,NA,NA
"396","ARHGEF18",2,1,1,2
"397","ARHGEF19",1,NA,NA,NA
"398","ARHGEF2",15,4,4,8
"399","ARHGEF25",3,NA,NA,NA
"400","ARHGEF28",1,NA,NA,NA
"401","ARHGEF4",4,NA,1,1
"402","ARHGEF40",1,NA,NA,NA
"403","ARHGEF9",6,2,3,4
"404","ARID3B",2,1,NA,1
"405","ARID5A",1,NA,NA,NA
"406","ARIH2",NA,NA,1,1
"407","ARL14EP",3,NA,NA,NA
"408","ARL16",NA,1,NA,1
"409","ARL2",2,NA,NA,NA
"410","ARL6IP4",2,2,1,4
