"","Genes","Number of Splicing Events","dataset"
"669","EPN1",3,"HumanCTX"
"670","EPS15L1",3,"HumanCTX"
"671","ERCC1",3,"HumanCTX"
"672","ERCC3",3,"HumanCTX"
"673","ETNPPL",3,"HumanCTX"
"674","EVL",3,"HumanCTX"
"675","EXOSC10",3,"HumanCTX"
"676","FAAH",3,"HumanCTX"
"677","FAM107B",3,"HumanCTX"
"678","FAM120AOS",3,"HumanCTX"
"679","FAM131A",3,"HumanCTX"
"680","FAM136A",3,"HumanCTX"
"681","FAM149A",3,"HumanCTX"
"682","FAM156B",3,"HumanCTX"
"683","FAM177A1",3,"HumanCTX"
"684","FAM200B",3,"HumanCTX"
"685","FAM214B",3,"HumanCTX"
"686","FAM219B",3,"HumanCTX"
"687","FAM222B",3,"HumanCTX"
"688","FAM234A",3,"HumanCTX"
"689","FAM3A",3,"HumanCTX"
"690","FARSB",3,"HumanCTX"
"691","FASTK",3,"HumanCTX"
"692","FBXO2",3,"HumanCTX"
"693","FBXO7",3,"HumanCTX"
"694","FBXW5",3,"HumanCTX"
"695","FBXW7",3,"HumanCTX"
