"","Genes","Number of Splicing Events","dataset"
"17934","Commd5",1,"WholeIsoSeq"
"17935","Commd6",1,"WholeIsoSeq"
"17936","Comt",1,"WholeIsoSeq"
"17937","Comtd1",1,"WholeIsoSeq"
"17938","Copb1",1,"WholeIsoSeq"
"17939","Copb2",1,"WholeIsoSeq"
"17940","Copg1",1,"WholeIsoSeq"
"17941","Cops5",1,"WholeIsoSeq"
"17942","Cops8",1,"WholeIsoSeq"
"17943","Coq4",1,"WholeIsoSeq"
"17944","Coq7",1,"WholeIsoSeq"
"17945","Coq8a",1,"WholeIsoSeq"
"17946","Coq8b",1,"WholeIsoSeq"
"17947","Coq9",1,"WholeIsoSeq"
"17948","Coro2b",1,"WholeIsoSeq"
"17949","Cox14",1,"WholeIsoSeq"
"17950","Cox15",1,"WholeIsoSeq"
"17951","Cox16",1,"WholeIsoSeq"
"17952","Cox18",1,"WholeIsoSeq"
"17953","Cox5b",1,"WholeIsoSeq"
"17954","Cox6a1",1,"WholeIsoSeq"
"17955","Cox6b2",1,"WholeIsoSeq"
"17956","Cox8a",1,"WholeIsoSeq"
"17957","Cpeb2",1,"WholeIsoSeq"
"17958","Cpeb4",1,"WholeIsoSeq"
"17959","Cpne4",1,"WholeIsoSeq"
"17960","Cpne5",1,"WholeIsoSeq"
"17961","Cpne8",1,"WholeIsoSeq"
"17962","Crabp2",1,"WholeIsoSeq"
"17963","Cracr2b",1,"WholeIsoSeq"
"17964","Cradd",1,"WholeIsoSeq"
"17965","Creb3",1,"WholeIsoSeq"
"17966","Creb3l1",1,"WholeIsoSeq"
"17967","Crebl2",1,"WholeIsoSeq"
"17968","Crebzf",1,"WholeIsoSeq"
"17969","Crhr1",1,"WholeIsoSeq"
"17970","Crim1",1,"WholeIsoSeq"
"17971","Cript",1,"WholeIsoSeq"
"17972","Crkl",1,"WholeIsoSeq"
"17973","Crlf2",1,"WholeIsoSeq"
"17974","Crmp1",1,"WholeIsoSeq"
"17975","Cryab",1,"WholeIsoSeq"
"17976","Cryz",1,"WholeIsoSeq"
"17977","Csde1",1,"WholeIsoSeq"
"17978","Cse1l",1,"WholeIsoSeq"
"17979","Csgalnact2",1,"WholeIsoSeq"
"17980","Csmd1",1,"WholeIsoSeq"
"17981","CT010433.1",1,"WholeIsoSeq"
"17982","Ctdp1",1,"WholeIsoSeq"
"17983","Ctf1",1,"WholeIsoSeq"
"17984","Ctif",1,"WholeIsoSeq"
"17985","Ctnna2",1,"WholeIsoSeq"
"17986","Ctnnal1",1,"WholeIsoSeq"
"17987","Ctnnb1",1,"WholeIsoSeq"
"17988","Ctnnbip1",1,"WholeIsoSeq"
"17989","Ctnnd1",1,"WholeIsoSeq"
"17990","Ctns",1,"WholeIsoSeq"
"17991","Ctr9",1,"WholeIsoSeq"
"17992","Ctsh",1,"WholeIsoSeq"
"17993","Ctsl",1,"WholeIsoSeq"
"17994","Ctsz",1,"WholeIsoSeq"
"17995","Cttnbp2nl",1,"WholeIsoSeq"
"17996","Ctu2",1,"WholeIsoSeq"
"17997","Ctxn2",1,"WholeIsoSeq"
"17998","Ctxn3",1,"WholeIsoSeq"
"17999","Cul2",1,"WholeIsoSeq"
"18000","Cul3",1,"WholeIsoSeq"
"18001","Cul5",1,"WholeIsoSeq"
"18002","Cutc",1,"WholeIsoSeq"
"18003","Cwc27",1,"WholeIsoSeq"
"18004","Cwf19l1",1,"WholeIsoSeq"
"18005","Cx3cl1",1,"WholeIsoSeq"
"18006","Cxcl12",1,"WholeIsoSeq"
"18007","Cyb561d1",1,"WholeIsoSeq"
"18008","Cyb561d2",1,"WholeIsoSeq"
"18009","Cyb5d2",1,"WholeIsoSeq"
"18010","Cybc1",1,"WholeIsoSeq"
"18011","Cycs",1,"WholeIsoSeq"
"18012","Cygb",1,"WholeIsoSeq"
"18013","Cyp20a1",1,"WholeIsoSeq"
"18014","Cyp2j6",1,"WholeIsoSeq"
"18015","Cyp2s1",1,"WholeIsoSeq"
"18016","Cyp4f13",1,"WholeIsoSeq"
"18017","Cyp4f14",1,"WholeIsoSeq"
"18018","Cyren",1,"WholeIsoSeq"
"18019","Cys1",1,"WholeIsoSeq"
"18020","Czib",1,"WholeIsoSeq"
"18021","D10Wsu102e",1,"WholeIsoSeq"
"18022","D11Wsu47e",1,"WholeIsoSeq"
"18023","D130040H23Rik",1,"WholeIsoSeq"
"18024","D16Ertd472e",1,"WholeIsoSeq"
"18025","D230025D16Rik",1,"WholeIsoSeq"
"18026","D2hgdh",1,"WholeIsoSeq"
"18027","D430019H16Rik",1,"WholeIsoSeq"
"18028","D430020J02Rik",1,"WholeIsoSeq"
"18029","D6Wsu163e",1,"WholeIsoSeq"
"18030","D8Ertd738e",1,"WholeIsoSeq"
"18031","Dact1",1,"WholeIsoSeq"
"18032","Dact2",1,"WholeIsoSeq"
"18033","Daxx",1,"WholeIsoSeq"
"18034","Dazap1",1,"WholeIsoSeq"
"18035","Dbi",1,"WholeIsoSeq"
"18036","Dcaf12l1",1,"WholeIsoSeq"
"18037","Dcaf17",1,"WholeIsoSeq"
"18038","Dcaf5",1,"WholeIsoSeq"
"18039","Dcaf6",1,"WholeIsoSeq"
"18040","Dcaf7",1,"WholeIsoSeq"
"18041","Dclre1a",1,"WholeIsoSeq"
"18042","Dclre1c",1,"WholeIsoSeq"
"18043","Dcn",1,"WholeIsoSeq"
"18044","Dcp1a",1,"WholeIsoSeq"
"18045","Dctn4",1,"WholeIsoSeq"
"18046","Dcun1d1",1,"WholeIsoSeq"
"18047","Dcx",1,"WholeIsoSeq"
"18048","Dcxr",1,"WholeIsoSeq"
"18049","Ddb2",1,"WholeIsoSeq"
"18050","Ddit3",1,"WholeIsoSeq"
"18051","Ddo",1,"WholeIsoSeq"
"18052","Ddx17",1,"WholeIsoSeq"
"18053","Ddx18",1,"WholeIsoSeq"
"18054","Ddx27",1,"WholeIsoSeq"
"18055","Ddx54",1,"WholeIsoSeq"
"18056","Dennd2a",1,"WholeIsoSeq"
"18057","Dennd3",1,"WholeIsoSeq"
"18058","Dennd4c",1,"WholeIsoSeq"
"18059","Dennd5a",1,"WholeIsoSeq"
"18060","Desi1",1,"WholeIsoSeq"
"18061","Desi2",1,"WholeIsoSeq"
"18062","Det1",1,"WholeIsoSeq"
"18063","Dexi",1,"WholeIsoSeq"
"18064","Dffb",1,"WholeIsoSeq"
"18065","Dgat1",1,"WholeIsoSeq"
"18066","Dgki",1,"WholeIsoSeq"
"18067","Dhodh",1,"WholeIsoSeq"
"18068","Dhrs1",1,"WholeIsoSeq"
"18069","Dhx57",1,"WholeIsoSeq"
"18070","Diablo",1,"WholeIsoSeq"
"18071","Diaph2",1,"WholeIsoSeq"
"18072","Dimt1",1,"WholeIsoSeq"
"18073","Dio2",1,"WholeIsoSeq"
"18074","Dip2a",1,"WholeIsoSeq"
"18075","Dip2b",1,"WholeIsoSeq"
"18076","Dipk1c",1,"WholeIsoSeq"
"18077","Dis3",1,"WholeIsoSeq"
"18078","Dis3l2",1,"WholeIsoSeq"
"18079","Disp3",1,"WholeIsoSeq"
"18080","Dixdc1",1,"WholeIsoSeq"
"18081","Dkkl1",1,"WholeIsoSeq"
"18082","Dld",1,"WholeIsoSeq"
"18083","Dlg5",1,"WholeIsoSeq"
"18084","Dlk2",1,"WholeIsoSeq"
"18085","Dll4",1,"WholeIsoSeq"
"18086","Dlst",1,"WholeIsoSeq"
"18087","Dlx1",1,"WholeIsoSeq"
"18088","Dlx1as",1,"WholeIsoSeq"
"18089","Dlx6os1",1,"WholeIsoSeq"
"18090","Dmd",1,"WholeIsoSeq"
"18091","Dmrtc1a",1,"WholeIsoSeq"
"18092","Dmtf1",1,"WholeIsoSeq"
"18093","Dmwd",1,"WholeIsoSeq"
"18094","Dmxl1",1,"WholeIsoSeq"
"18095","Dnah1",1,"WholeIsoSeq"
"18096","Dnaja3",1,"WholeIsoSeq"
"18097","Dnaja4",1,"WholeIsoSeq"
"18098","Dnajb12",1,"WholeIsoSeq"
"18099","Dnajc1",1,"WholeIsoSeq"
"18100","Dnajc10",1,"WholeIsoSeq"
"18101","Dnajc11",1,"WholeIsoSeq"
"18102","Dnajc12",1,"WholeIsoSeq"
"18103","Dnajc13",1,"WholeIsoSeq"
"18104","Dnajc15",1,"WholeIsoSeq"
"18105","Dnajc17",1,"WholeIsoSeq"
"18106","Dnajc18",1,"WholeIsoSeq"
"18107","Dnajc19",1,"WholeIsoSeq"
"18108","Dnajc2",1,"WholeIsoSeq"
"18109","Dnajc24",1,"WholeIsoSeq"
"18110","Dnajc25",1,"WholeIsoSeq"
"18111","Dnajc28",1,"WholeIsoSeq"
"18112","Dnase1l1",1,"WholeIsoSeq"
"18113","Dner",1,"WholeIsoSeq"
"18114","Dnmbp",1,"WholeIsoSeq"
"18115","Dnttip1",1,"WholeIsoSeq"
"18116","Doc2b",1,"WholeIsoSeq"
"18117","Dock4",1,"WholeIsoSeq"
"18118","Dohh",1,"WholeIsoSeq"
"18119","Dok3",1,"WholeIsoSeq"
"18120","Dok5",1,"WholeIsoSeq"
"18121","Dph6",1,"WholeIsoSeq"
"18122","Dpm1",1,"WholeIsoSeq"
"18123","Dpm2",1,"WholeIsoSeq"
"18124","Dpp9",1,"WholeIsoSeq"
"18125","Dpy30",1,"WholeIsoSeq"
"18126","Dpysl3",1,"WholeIsoSeq"
"18127","Dram2",1,"WholeIsoSeq"
"18128","Drap1",1,"WholeIsoSeq"
"18129","Drc1",1,"WholeIsoSeq"
"18130","Drd1",1,"WholeIsoSeq"
"18131","Drp2",1,"WholeIsoSeq"
"18132","Dsc3",1,"WholeIsoSeq"
"18133","Dscaml1",1,"WholeIsoSeq"
"18134","Dsel",1,"WholeIsoSeq"
"18135","Dsn1",1,"WholeIsoSeq"
"18136","Dst",1,"WholeIsoSeq"
"18137","Dstn",1,"WholeIsoSeq"
"18138","Dtd2",1,"WholeIsoSeq"
"18139","Dtnbp1",1,"WholeIsoSeq"
"18140","Dtwd1",1,"WholeIsoSeq"
"18141","Dtx2",1,"WholeIsoSeq"
"18142","Dtymk",1,"WholeIsoSeq"
"18143","Dusp1",1,"WholeIsoSeq"
"18144","Dusp14",1,"WholeIsoSeq"
"18145","Dusp15",1,"WholeIsoSeq"
"18146","Dusp22",1,"WholeIsoSeq"
"18147","Dusp3",1,"WholeIsoSeq"
"18148","Dusp4",1,"WholeIsoSeq"
"18149","Dusp6",1,"WholeIsoSeq"
"18150","Dusp7",1,"WholeIsoSeq"
"18151","Dvl1",1,"WholeIsoSeq"
"18152","Dvl2",1,"WholeIsoSeq"
"18153","Dvl3",1,"WholeIsoSeq"
"18154","Dym",1,"WholeIsoSeq"
"18155","Dync1li1",1,"WholeIsoSeq"
"18156","Dync2h1",1,"WholeIsoSeq"
"18157","Dynlrb1",1,"WholeIsoSeq"
"18158","E130114P18Rik",1,"WholeIsoSeq"
"18159","E130309D02Rik",1,"WholeIsoSeq"
"18160","E130311K13Rik",1,"WholeIsoSeq"
"18161","E2f1",1,"WholeIsoSeq"
"18162","E430018J23Rik",1,"WholeIsoSeq"
"18163","Ebna1bp2",1,"WholeIsoSeq"
"18164","Ecd",1,"WholeIsoSeq"
"18165","Echdc1",1,"WholeIsoSeq"
"18166","Echs1",1,"WholeIsoSeq"
"18167","Ect2l",1,"WholeIsoSeq"
"18168","Ednrb",1,"WholeIsoSeq"
"18169","Edrf1",1,"WholeIsoSeq"
"18170","Eed",1,"WholeIsoSeq"
"18171","Eef1a1",1,"WholeIsoSeq"
"18172","Eef1b2",1,"WholeIsoSeq"
"18173","Eef1e1",1,"WholeIsoSeq"
"18174","Eef1g",1,"WholeIsoSeq"
"18175","Efcab10",1,"WholeIsoSeq"
"18176","Efemp2",1,"WholeIsoSeq"
"18177","Efhd1",1,"WholeIsoSeq"
"18178","Efna1",1,"WholeIsoSeq"
"18179","Efnb2",1,"WholeIsoSeq"
"18180","Egln1",1,"WholeIsoSeq"
"18181","Egln3",1,"WholeIsoSeq"
"18182","Egr4",1,"WholeIsoSeq"
"18183","Ehbp1l1",1,"WholeIsoSeq"
"18184","Ehd1",1,"WholeIsoSeq"
"18185","Ehhadh",1,"WholeIsoSeq"
"18186","Eif1",1,"WholeIsoSeq"
"18187","Eif1ax",1,"WholeIsoSeq"
"18188","Eif2ak1",1,"WholeIsoSeq"
"18189","Eif2ak4",1,"WholeIsoSeq"
"18190","Eif2b4",1,"WholeIsoSeq"
"18191","Eif2b5",1,"WholeIsoSeq"
"18192","Eif2d",1,"WholeIsoSeq"
"18193","Eif2s1",1,"WholeIsoSeq"
"18194","Eif3c",1,"WholeIsoSeq"
"18195","Eif3d",1,"WholeIsoSeq"
"18196","Eif3e",1,"WholeIsoSeq"
"18197","Eif3k",1,"WholeIsoSeq"
"18198","Eif3m",1,"WholeIsoSeq"
"18199","Eif4a3",1,"WholeIsoSeq"
"18200","Eif4e3",1,"WholeIsoSeq"
"18201","Eif5a2",1,"WholeIsoSeq"
"18202","Eif6",1,"WholeIsoSeq"
"18203","Elac1",1,"WholeIsoSeq"
"18204","Elavl1",1,"WholeIsoSeq"
"18205","Elavl3",1,"WholeIsoSeq"
"18206","Elf1",1,"WholeIsoSeq"
"18207","Elfn2",1,"WholeIsoSeq"
"18208","Ell",1,"WholeIsoSeq"
"18209","Ell2",1,"WholeIsoSeq"
"18210","Elmsan1",1,"WholeIsoSeq"
"18211","Elob",1,"WholeIsoSeq"
"18212","Elovl6",1,"WholeIsoSeq"
"18213","Elp1",1,"WholeIsoSeq"
"18214","Elp3",1,"WholeIsoSeq"
"18215","Elp4",1,"WholeIsoSeq"
"18216","Elp6",1,"WholeIsoSeq"
"18217","Emc1",1,"WholeIsoSeq"
"18218","Emc4",1,"WholeIsoSeq"
"18219","Emc9",1,"WholeIsoSeq"
"18220","Emid1",1,"WholeIsoSeq"
"18221","Eml4",1,"WholeIsoSeq"
"18222","Enah",1,"WholeIsoSeq"
"18223","Enc1",1,"WholeIsoSeq"
"18224","Endov",1,"WholeIsoSeq"
"18225","Enkd1",1,"WholeIsoSeq"
"18226","Enox1",1,"WholeIsoSeq"
"18227","Enox2",1,"WholeIsoSeq"
"18228","Enpp4",1,"WholeIsoSeq"
"18229","Entpd4b",1,"WholeIsoSeq"
"18230","Entpd5",1,"WholeIsoSeq"
"18231","Epas1",1,"WholeIsoSeq"
"18232","Epb41",1,"WholeIsoSeq"
"18233","Epb41l4b",1,"WholeIsoSeq"
"18234","Epb41l5",1,"WholeIsoSeq"
"18235","Epc2",1,"WholeIsoSeq"
"18236","Epdr1",1,"WholeIsoSeq"
"18237","Ephb4",1,"WholeIsoSeq"
"18238","Epm2a",1,"WholeIsoSeq"
"18239","Epm2aip1",1,"WholeIsoSeq"
"18240","Eprs",1,"WholeIsoSeq"
"18241","Eps8l2",1,"WholeIsoSeq"
"18242","Erc1",1,"WholeIsoSeq"
"18243","Erc2",1,"WholeIsoSeq"
"18244","Ercc5",1,"WholeIsoSeq"
"18245","Ercc6l2",1,"WholeIsoSeq"
"18246","Ercc8",1,"WholeIsoSeq"
"18247","Erf",1,"WholeIsoSeq"
"18248","Ergic2",1,"WholeIsoSeq"
"18249","Ergic3",1,"WholeIsoSeq"
"18250","Erh",1,"WholeIsoSeq"
"18251","Eri1",1,"WholeIsoSeq"
"18252","Erlec1",1,"WholeIsoSeq"
"18253","Erlin1",1,"WholeIsoSeq"
"18254","Ero1l",1,"WholeIsoSeq"
"18255","Ero1lb",1,"WholeIsoSeq"
"18256","Erp29",1,"WholeIsoSeq"
"18257","Esco1",1,"WholeIsoSeq"
"18258","Ess2",1,"WholeIsoSeq"
"18259","Esyt3",1,"WholeIsoSeq"
"18260","Etfrf1",1,"WholeIsoSeq"
"18261","Etv3",1,"WholeIsoSeq"
"18262","Etv4",1,"WholeIsoSeq"
"18263","Eva1b",1,"WholeIsoSeq"
"18264","Evc",1,"WholeIsoSeq"
"18265","Evc2",1,"WholeIsoSeq"
"18266","Evi5",1,"WholeIsoSeq"
"18267","Exo5",1,"WholeIsoSeq"
"18268","Exoc2",1,"WholeIsoSeq"
"18269","Exoc3",1,"WholeIsoSeq"
"18270","Exoc3l4",1,"WholeIsoSeq"
"18271","Exoc6",1,"WholeIsoSeq"
"18272","Exosc5",1,"WholeIsoSeq"
"18273","Exosc8",1,"WholeIsoSeq"
"18274","Ext2",1,"WholeIsoSeq"
"18275","Eya3",1,"WholeIsoSeq"
"18276","F3",1,"WholeIsoSeq"
"18277","Fabp7",1,"WholeIsoSeq"
"18278","Fads6",1,"WholeIsoSeq"
"18279","Faim",1,"WholeIsoSeq"
"18280","Fam102a",1,"WholeIsoSeq"
"18281","Fam107b",1,"WholeIsoSeq"
"18282","Fam114a2",1,"WholeIsoSeq"
"18283","Fam120b",1,"WholeIsoSeq"
"18284","Fam122b",1,"WholeIsoSeq"
"18285","Fam124a",1,"WholeIsoSeq"
"18286","Fam133b",1,"WholeIsoSeq"
"18287","Fam13a",1,"WholeIsoSeq"
"18288","Fam151b",1,"WholeIsoSeq"
"18289","Fam155a",1,"WholeIsoSeq"
"18290","Fam160a1",1,"WholeIsoSeq"
"18291","Fam168a",1,"WholeIsoSeq"
"18292","Fam172a",1,"WholeIsoSeq"
"18293","Fam205a3",1,"WholeIsoSeq"
"18294","Fam207a",1,"WholeIsoSeq"
"18295","Fam216a",1,"WholeIsoSeq"
"18296","Fam229b",1,"WholeIsoSeq"
"18297","Fam32a",1,"WholeIsoSeq"
"18298","Fam3c",1,"WholeIsoSeq"
"18299","Fam53b",1,"WholeIsoSeq"
"18300","Fam57b",1,"WholeIsoSeq"
"18301","Fam76a",1,"WholeIsoSeq"
"18302","Fam78a",1,"WholeIsoSeq"
"18303","Fam91a1",1,"WholeIsoSeq"
"18304","Fam98a",1,"WholeIsoSeq"
"18305","Fank1",1,"WholeIsoSeq"
"18306","Far1",1,"WholeIsoSeq"
"18307","Fasn",1,"WholeIsoSeq"
"18308","Fastkd1",1,"WholeIsoSeq"
"18309","Fastkd2",1,"WholeIsoSeq"
"18310","Fat1",1,"WholeIsoSeq"
"18311","Faxc",1,"WholeIsoSeq"
"18312","Fblim1",1,"WholeIsoSeq"
"18313","Fbln2",1,"WholeIsoSeq"
"18314","Fbxl20",1,"WholeIsoSeq"
"18315","Fbxl21",1,"WholeIsoSeq"
"18316","Fbxl6",1,"WholeIsoSeq"
"18317","Fbxo16",1,"WholeIsoSeq"
"18318","Fbxo22",1,"WholeIsoSeq"
"18319","Fbxo25",1,"WholeIsoSeq"
"18320","Fbxo41",1,"WholeIsoSeq"
"18321","Fbxo8",1,"WholeIsoSeq"
"18322","Fbxw17",1,"WholeIsoSeq"
"18323","Fbxw8",1,"WholeIsoSeq"
"18324","Fcer1g",1,"WholeIsoSeq"
"18325","Fcho1",1,"WholeIsoSeq"
"18326","Fcna",1,"WholeIsoSeq"
"18327","Fdft1",1,"WholeIsoSeq"
"18328","Fdx1l",1,"WholeIsoSeq"
"18329","Fen1",1,"WholeIsoSeq"
"18330","Fermt2",1,"WholeIsoSeq"
"18331","Fez2",1,"WholeIsoSeq"
"18332","Fgf1",1,"WholeIsoSeq"
"18333","Fgf12",1,"WholeIsoSeq"
"18334","Fgf13",1,"WholeIsoSeq"
"18335","Fgf9",1,"WholeIsoSeq"
"18336","Fgfr1op",1,"WholeIsoSeq"
"18337","Fgfr1op2",1,"WholeIsoSeq"
"18338","Fgfrl1",1,"WholeIsoSeq"
"18339","Fggy",1,"WholeIsoSeq"
"18340","Fhod3",1,"WholeIsoSeq"
"18341","Fig4",1,"WholeIsoSeq"
"18342","Fign",1,"WholeIsoSeq"
"18343","Fip1l1",1,"WholeIsoSeq"
"18344","Fkbp15",1,"WholeIsoSeq"
"18345","Fkbp3",1,"WholeIsoSeq"
"18346","Fkbp4",1,"WholeIsoSeq"
"18347","Fkbp5",1,"WholeIsoSeq"
"18348","Fkbpl",1,"WholeIsoSeq"
"18349","Fli1",1,"WholeIsoSeq"
"18350","Flii",1,"WholeIsoSeq"
"18351","Flrt2",1,"WholeIsoSeq"
"18352","Flvcr1",1,"WholeIsoSeq"
"18353","Flywch1",1,"WholeIsoSeq"
"18354","Fmc1",1,"WholeIsoSeq"
"18355","Fmnl3",1,"WholeIsoSeq"
"18356","Fmo1",1,"WholeIsoSeq"
"18357","Fn3krp",1,"WholeIsoSeq"
"18358","Fndc3b",1,"WholeIsoSeq"
"18359","Fnta",1,"WholeIsoSeq"
"18360","Fntb",1,"WholeIsoSeq"
"18361","Focad",1,"WholeIsoSeq"
"18362","Folh1",1,"WholeIsoSeq"
"18363","Fos",1,"WholeIsoSeq"
"18364","Fosb",1,"WholeIsoSeq"
"18365","Foxg1",1,"WholeIsoSeq"
"18366","Foxk2",1,"WholeIsoSeq"
"18367","Foxn3",1,"WholeIsoSeq"
"18368","Foxp4",1,"WholeIsoSeq"
"18369","Foxred2",1,"WholeIsoSeq"
"18370","Frg2f1",1,"WholeIsoSeq"
"18371","Frmd4a",1,"WholeIsoSeq"
"18372","Frmd4b",1,"WholeIsoSeq"
"18373","Frmd5",1,"WholeIsoSeq"
"18374","Frmd6",1,"WholeIsoSeq"
"18375","Frmd8",1,"WholeIsoSeq"
"18376","Frmpd3",1,"WholeIsoSeq"
"18377","Frs2",1,"WholeIsoSeq"
"18378","Fry",1,"WholeIsoSeq"
"18379","Fstl5",1,"WholeIsoSeq"
"18380","Fth1",1,"WholeIsoSeq"
"18381","Ftl1",1,"WholeIsoSeq"
"18382","Fundc1",1,"WholeIsoSeq"
"18383","Furin",1,"WholeIsoSeq"
"18384","Fut11",1,"WholeIsoSeq"
"18385","Fxr2",1,"WholeIsoSeq"
"18386","Fxyd2",1,"WholeIsoSeq"
"18387","Fxyd6",1,"WholeIsoSeq"
"18388","Fzd6",1,"WholeIsoSeq"
"18389","Gabra1",1,"WholeIsoSeq"
"18390","Gabra3",1,"WholeIsoSeq"
"18391","Gabrg1",1,"WholeIsoSeq"
"18392","Gadd45g",1,"WholeIsoSeq"
"18393","Gal3st4",1,"WholeIsoSeq"
"18394","Galk2",1,"WholeIsoSeq"
"18395","Galnt14",1,"WholeIsoSeq"
"18396","Galnt17",1,"WholeIsoSeq"
"18397","Galnt18",1,"WholeIsoSeq"
"18398","Galnt6",1,"WholeIsoSeq"
"18399","Gamt",1,"WholeIsoSeq"
"18400","Gap43",1,"WholeIsoSeq"
"18401","Gar1",1,"WholeIsoSeq"
"18402","Gas2",1,"WholeIsoSeq"
"18403","Gas6",1,"WholeIsoSeq"
"18404","Gas8",1,"WholeIsoSeq"
"18405","Gatad2b",1,"WholeIsoSeq"
"18406","Gatb",1,"WholeIsoSeq"
"18407","Gatd3a",1,"WholeIsoSeq"
"18408","Gatm",1,"WholeIsoSeq"
"18409","Gba2",1,"WholeIsoSeq"
"18410","Gbf1",1,"WholeIsoSeq"
"18411","Gck",1,"WholeIsoSeq"
"18412","Gclc",1,"WholeIsoSeq"
"18413","Gclm",1,"WholeIsoSeq"
"18414","Gcn1l1",1,"WholeIsoSeq"
"18415","Gcnt1",1,"WholeIsoSeq"
"18416","Gcnt2",1,"WholeIsoSeq"
"18417","Gdap1l1",1,"WholeIsoSeq"
"18418","Gdpd1",1,"WholeIsoSeq"
"18419","Gemin2",1,"WholeIsoSeq"
"18420","Gemin6",1,"WholeIsoSeq"
"18421","Gemin7",1,"WholeIsoSeq"
"18422","Gfm2",1,"WholeIsoSeq"
"18423","Gfod2",1,"WholeIsoSeq"
"18424","Gfpt1",1,"WholeIsoSeq"
"18425","Gfra2",1,"WholeIsoSeq"
"18426","Gga2",1,"WholeIsoSeq"
"18427","Ggact",1,"WholeIsoSeq"
"18428","Ggct",1,"WholeIsoSeq"
"18429","Ggh",1,"WholeIsoSeq"
"18430","Ggt5",1,"WholeIsoSeq"
"18431","Ggta1",1,"WholeIsoSeq"
"18432","Gid4",1,"WholeIsoSeq"
"18433","Gigyf2",1,"WholeIsoSeq"
"18434","Ginm1",1,"WholeIsoSeq"
"18435","Gjb2",1,"WholeIsoSeq"
"18436","Gjc1",1,"WholeIsoSeq"
"18437","Gjc3",1,"WholeIsoSeq"
"18438","Gk",1,"WholeIsoSeq"
"18439","Gkap1",1,"WholeIsoSeq"
"18440","Glce",1,"WholeIsoSeq"
"18441","Glis2",1,"WholeIsoSeq"
"18442","Glmn",1,"WholeIsoSeq"
"18443","Glo1",1,"WholeIsoSeq"
"18444","Gls",1,"WholeIsoSeq"
"18445","Gls2",1,"WholeIsoSeq"
"18446","Glt8d2",1,"WholeIsoSeq"
"18447","Glud1",1,"WholeIsoSeq"
"18448","Glul",1,"WholeIsoSeq"
"18449","Gm10010",1,"WholeIsoSeq"
"18450","Gm10033",1,"WholeIsoSeq"
"18451","Gm10244",1,"WholeIsoSeq"
"18452","Gm10432",1,"WholeIsoSeq"
"18453","Gm10509",1,"WholeIsoSeq"
"18454","Gm10561",1,"WholeIsoSeq"
"18455","Gm11223",1,"WholeIsoSeq"
"18456","Gm11681",1,"WholeIsoSeq"
"18457","Gm11696",1,"WholeIsoSeq"
"18458","Gm11944",1,"WholeIsoSeq"
"18459","Gm12258",1,"WholeIsoSeq"
"18460","Gm12494",1,"WholeIsoSeq"
"18461","Gm13205",1,"WholeIsoSeq"
"18462","Gm13536",1,"WholeIsoSeq"
"18463","Gm13558",1,"WholeIsoSeq"
"18464","Gm14004",1,"WholeIsoSeq"
"18465","Gm14230",1,"WholeIsoSeq"
"18466","Gm14308",1,"WholeIsoSeq"
"18467","Gm14325",1,"WholeIsoSeq"
"18468","Gm14399",1,"WholeIsoSeq"
"18469","Gm14403",1,"WholeIsoSeq"
"18470","Gm14418",1,"WholeIsoSeq"
"18471","Gm14964",1,"WholeIsoSeq"
"18472","Gm15379",1,"WholeIsoSeq"
"18473","Gm15446",1,"WholeIsoSeq"
"18474","Gm15631",1,"WholeIsoSeq"
"18475","Gm1673",1,"WholeIsoSeq"
"18476","Gm16973",1,"WholeIsoSeq"
"18477","Gm17055",1,"WholeIsoSeq"
"18478","Gm17066",1,"WholeIsoSeq"
"18479","Gm19744",1,"WholeIsoSeq"
"18480","Gm20063",1,"WholeIsoSeq"
"18481","Gm2026",1,"WholeIsoSeq"
"18482","Gm20300",1,"WholeIsoSeq"
"18483","Gm20498",1,"WholeIsoSeq"
"18484","Gm2061",1,"WholeIsoSeq"
"18485","Gm21093",1,"WholeIsoSeq"
"18486","Gm2115",1,"WholeIsoSeq"
"18487","Gm22389",1,"WholeIsoSeq"
"18488","Gm26644",1,"WholeIsoSeq"
"18489","Gm2694",1,"WholeIsoSeq"
"18490","Gm27021",1,"WholeIsoSeq"
"18491","Gm28285",1,"WholeIsoSeq"
"18492","Gm28800",1,"WholeIsoSeq"
"18493","Gm29514",1,"WholeIsoSeq"
"18494","Gm2956",1,"WholeIsoSeq"
"18495","Gm3194",1,"WholeIsoSeq"
"18496","Gm32391",1,"WholeIsoSeq"
"18497","Gm32856",1,"WholeIsoSeq"
"18498","Gm3411",1,"WholeIsoSeq"
"18499","Gm34466",1,"WholeIsoSeq"
"18500","Gm34583",1,"WholeIsoSeq"
"18501","Gm35021",1,"WholeIsoSeq"
"18502","Gm3558",1,"WholeIsoSeq"
"18503","Gm3591",1,"WholeIsoSeq"
"18504","Gm3696",1,"WholeIsoSeq"
"18505","Gm37494",1,"WholeIsoSeq"
"18506","Gm37503",1,"WholeIsoSeq"
"18507","Gm39822",1,"WholeIsoSeq"
"18508","Gm40578",1,"WholeIsoSeq"
"18509","Gm42688",1,"WholeIsoSeq"
"18510","Gm42756",1,"WholeIsoSeq"
"18511","Gm42864",1,"WholeIsoSeq"
"18512","Gm42902",1,"WholeIsoSeq"
"18513","Gm43737",1,"WholeIsoSeq"
"18514","Gm4419",1,"WholeIsoSeq"
