"","Gene","Event","No_of_Events","Sample"
"322","Ap5s1","SE",1,"Mouse"
"323","Apba1","SE",2,"Mouse"
"324","Apba2","MX",5,"Mouse"
"325","Apba2","SE",11,"Mouse"
"326","Apbb1","SE",3,"Mouse"
"327","Apbb2","SE",1,"Mouse"
"328","Apc","MX",1,"Mouse"
"329","Apc","SE",5,"Mouse"
"330","Apip","SE",1,"Mouse"
"331","Aplp2","SE",2,"Mouse"
"332","Apod","SE",1,"Mouse"
"333","Apoe","SE",2,"Mouse"
"334","Apopt1","MX",2,"Mouse"
"335","App","SE",3,"Mouse"
"336","Appl1","MX",1,"Mouse"
"337","Appl1","SE",2,"Mouse"
"338","Appl2","SE",2,"Mouse"
"339","Aptx","SE",1,"Mouse"
"340","Aqp4","SE",2,"Mouse"
"341","Arap1","SE",1,"Mouse"
"342","Arap3","SE",1,"Mouse"
"343","Arel1","SE",1,"Mouse"
"344","Arf3","MX",1,"Mouse"
"345","Arf3","SE",2,"Mouse"
"346","Arfgap1","SE",4,"Mouse"
"347","Arfgap2","SE",1,"Mouse"
"348","Arfgef2","SE",1,"Mouse"
"349","Arfip1","SE",3,"Mouse"
"350","Arfip2","SE",1,"Mouse"
"351","Arfrp1","SE",2,"Mouse"
"352","Arhgap1","SE",5,"Mouse"
"353","Arhgap10","SE",2,"Mouse"
"354","Arhgap12","SE",5,"Mouse"
"355","Arhgap17","SE",4,"Mouse"
"356","Arhgap21","SE",2,"Mouse"
"357","Arhgap23","SE",2,"Mouse"
"358","Arhgap26","SE",1,"Mouse"
"359","Arhgap27","SE",2,"Mouse"
"360","Arhgap29","SE",1,"Mouse"
"361","Arhgap33","SE",4,"Mouse"
"362","Arhgap39","SE",1,"Mouse"
"363","Arhgap44","SE",5,"Mouse"
"364","Arhgap5","SE",3,"Mouse"
"365","Arhgap6","SE",2,"Mouse"
"366","Arhgdig","SE",2,"Mouse"
"367","Arhgef1","SE",2,"Mouse"
"368","Arhgef10","SE",4,"Mouse"
"369","Arhgef10l","SE",2,"Mouse"
"370","Arhgef11","SE",5,"Mouse"
"371","Arhgef12","SE",1,"Mouse"
"372","Arhgef15","SE",2,"Mouse"
"373","Arhgef18","SE",2,"Mouse"
"374","Arhgef19","SE",2,"Mouse"
"375","Arhgef2","SE",1,"Mouse"
"376","Arhgef25","SE",2,"Mouse"
"377","Arhgef28","SE",2,"Mouse"
"378","Arhgef4","SE",3,"Mouse"
"379","Arhgef40","SE",3,"Mouse"
"380","Arhgef6","SE",1,"Mouse"
"381","Arhgef7","SE",2,"Mouse"
"382","Arhgef9","MX",3,"Mouse"
"383","Arhgef9","SE",4,"Mouse"
"384","Arid4b","SE",2,"Mouse"
"385","Arid5a","SE",1,"Mouse"
"386","Arih2","SE",1,"Mouse"
"387","Arl13b","SE",1,"Mouse"
"388","Arl15","SE",2,"Mouse"
"389","Arl2bp","MX",1,"Mouse"
"390","Arl2bp","SE",7,"Mouse"
"391","Arl5a","SE",3,"Mouse"
"392","Arl6ip1","SE",3,"Mouse"
"393","Arl8a","SE",2,"Mouse"
"394","Armc1","SE",1,"Mouse"
"395","Armc5","SE",1,"Mouse"
"396","Armc8","SE",1,"Mouse"
"397","Armcx1","MX",1,"Mouse"
"398","Armcx1","SE",5,"Mouse"
"399","Armcx2","SE",1,"Mouse"
"400","Arnt","SE",1,"Mouse"
"401","Arnt2","MX",5,"Mouse"
"402","Arnt2","SE",13,"Mouse"
"403","Arntl","SE",4,"Mouse"
