,associated_gene,Adult,Fetal,Adult_TPM,Fetal_TPM,diff
358,CELF3,1.17609125905568,2.70586371228392,15,508,493
359,CELF5,1.81954393554187,1.66275783168157,66,46,20
360,CELSR2,1.47712125471966,NA,30,NA,NA
361,CELSR3,NA,1.49136169383427,NA,31,NA
362,CENPO,NA,1.41497334797082,NA,26,NA
363,CENPT,2.14612803567824,2.57403126772772,140,375,235
364,CENPV,1.70757017609794,2.47421626407626,51,298,247
365,CENPW,NA,1,NA,10,NA
366,CENPX,NA,1.7481880270062,NA,56,NA
367,CEP350,0.778151250383644,1,6,10,4
368,CEP68,1.55630250076729,2.07188200730613,36,118,82
369,CEP95,1.07918124604762,1.61278385671974,12,41,29
370,CEPT1,NA,1.7481880270062,NA,56,NA
371,CERCAM,1.68124123737559,NA,48,NA,NA
372,CERS2,NA,1.82607480270083,NA,67,NA
373,CERS6,1.25527250510331,NA,18,NA,NA
374,CES2,2.2380461031288,1.85733249643127,173,72,101
375,CES4A,1.51851393987789,1,33,10,23
376,CFAP221,0.954242509439325,NA,9,NA,NA
377,CFAP410,NA,1,NA,10,NA
378,CFAP97,NA,2.07188200730613,NA,118,NA
379,CFL2,1.83884909073726,NA,69,NA,NA
380,CGREF1,1.6232492903979,NA,42,NA,NA
381,CHD7,1.68124123737559,2.29003461136252,48,195,147
382,CHD9,1.55630250076729,1.70757017609794,36,51,15
383,CHERP,NA,2.34439227368511,NA,221,NA
384,CHGA,1.65321251377534,NA,45,NA,NA
385,CHI3L1,2.67117284271508,NA,469,NA,NA
386,CHKA,1.43136376415899,1.88649072517248,27,77,50
387,CHKB,1.55630250076729,NA,36,NA,NA
388,CHMP1A,2.44870631990508,2.39093510710338,281,246,34.9999999999998
389,CHMP5,NA,2.18752072083646,NA,154,NA
390,CHMP7,NA,2.5910646070265,NA,390,NA
391,CHPF2,1.6232492903979,1.66275783168157,42,46,3.99999999999999
392,CHRD,2.05690485133647,NA,114,NA,NA
393,CHRNB2,NA,1,NA,10,NA
394,CHST1,2.65991620006985,2.0899051114394,457,123,334
395,CHST10,2.06818586174616,NA,117,NA,NA
396,CHTF8,1.77815125038364,2.37291200297011,60,236,176
397,CHTOP,NA,2.2148438480477,NA,164,NA
398,CIAO1,1.55630250076729,1.7481880270062,36,56,20
399,CIAO2B,1.17609125905568,NA,15,NA,NA
400,CIAO3,NA,2.10720996964787,NA,128,NA
401,CIRBP,2.49692964807321,2.53655844257153,314,344,29.9999999999999
402,CIZ1,2.28780172993023,2.37291200297011,194,236,42.0000000000001
403,CKB,3.54888056263751,2.82412583391655,3539,667,2872
404,CKMT1A,2.47567118832443,NA,299,NA,NA
405,CKMT1B,2.25285303097989,NA,179,NA,NA
406,CKMT2,1.43136376415899,NA,27,NA,NA
407,CLASP2,1.89209460269048,NA,78,NA,NA
408,CLASRP,1.85733249643127,2.31175386105575,72,205,133
409,CLCN7,1.5910646070265,NA,39,NA,NA
410,CLDND1,2.81023251799508,2.9304395947667,646,852,206
411,CLIP3,2.91169015875386,NA,816,NA,NA
412,CLK1,2.03342375548695,2.5854607295085,108,385,277
413,CLK2,NA,2.12385164096709,NA,133,NA
414,CLK3,NA,2.32221929473392,NA,210,NA
415,CLK4,1.5910646070265,NA,39,NA,NA
416,CLN3,NA,1.55630250076729,NA,36,NA
417,CLN5,NA,1.70757017609794,NA,51,NA
418,CLPTM1,NA,2.85973856619715,NA,724,NA
419,CLSTN3,2.33243845991561,2.2148438480477,215,164,51
420,CLU,2.70586371228392,NA,508,NA,NA
421,CMTR1,1.5910646070265,1.96378782734556,39,92,53
422,CNBP,NA,2.69722934275972,NA,498,NA
423,CNEP1R1,NA,2.22788670461367,NA,169,NA
424,CNOT11,1.79934054945358,1.85733249643127,63,72,9.00000000000001
425,CNOT9,NA,1.82607480270083,NA,67,NA
426,CNPY3,2.03342375548695,1.79239168949825,108,62,46
427,CNR1,NA,2.46686762035411,NA,293,NA
428,CNTN2,NA,1.32221929473392,NA,21,NA
429,CNTNAP1,1.51851393987789,NA,33,NA,NA
430,CNTROB,NA,1.88649072517248,NA,77,NA
431,COASY,2.2148438480477,2.18752072083646,164,154,10
432,COG1,2.06818586174616,NA,117,NA,NA
