"","associated_gene","Human_Detected_LogTPM_Isoseq","Human","Mouse_Detected_LogTPM_Isoseq","Mouse"
"334","A730056A06RIK",NA,NA,0.507770305003864,"Mouse"
"335","A730060N03RIK",NA,NA,0.410860291995807,"Mouse"
"336","A730081D07RIK",NA,NA,0.109830296331826,"Mouse"
"337","A830009L08RIK",NA,NA,0.653898340682102,"Mouse"
"338","A830018L16RIK",NA,NA,1.2711982985668,"Mouse"
"339","A830019L24RIK",NA,NA,0.109830296331826,"Mouse"
"340","A830082K12RIK",NA,NA,1.22377364863866,"Mouse"
"341","A930004D18RIK",NA,NA,0.507770305003864,"Mouse"
"342","A930005H10RIK",NA,NA,1.56467515634034,"Mouse"
"343","A930007I19RIK",NA,NA,0.109830296331826,"Mouse"
"344","A930012L18RIK",NA,NA,0.109830296331826,"Mouse"
"345","A930015D03RIK",NA,NA,0.984891559723526,"Mouse"
"346","A930017K11RIK",NA,NA,0.285921555387507,"Mouse"
"347","A930017M01RIK",NA,NA,1.10983029633183,"Mouse"
"348","A930024N18RIK",NA,NA,0.109830296331826,"Mouse"
"349","A930024N18RIK_FAM120B",NA,NA,0.653898340682102,"Mouse"
"350","A930037H05RIK",NA,NA,0.109830296331826,"Mouse"
"351","AA387883",NA,NA,0.808800300667845,"Mouse"
"352","AA465934",NA,NA,1.50777030500386,"Mouse"
"353","AA467197",NA,NA,0.109830296331826,"Mouse"
"354","AA986860_YOD1",NA,NA,0.507770305003864,"Mouse"
"355","AAAS",2.00967622688931,"Human",1.46201281444319,"Mouse"
"356","AACS",1.95749821522424,"Human",1.03924922204612,"Mouse"
"357","AADAT",1.28540035728852,"Human",NA,NA
"358","AAGAB",1.51584927866679,"Human",1.25595833201006,"Mouse"
"359","AAK1",1.91886881286811,"Human",1.81312167445049,"Mouse"
"360","AAMDC",NA,NA,1.51637047676578,"Mouse"
"361","AAMP",2.51070963901438,"Human",2.68904207656333,"Mouse"
"362","AAR2",1.89818421400826,"Human",0.922743652974682,"Mouse"
"363","AAR2_GM14168",NA,NA,0.109830296331826,"Mouse"
"364","AARD",NA,NA,0.88798154671547,"Mouse"
"365","AARS",2.65831236025863,"Human",2.57595616675003,"Mouse"
"366","AARS2",0.887460348616483,"Human",1.62834423620971,"Mouse"
"367","AARSD1",1.98437036162454,"Human",1.25595833201006,"Mouse"
"368","AASDH",0.586430352952502,"Human",0.85019298582607,"Mouse"
"369","AASDHPPT",2.7020408646268,"Human",1.18901154237945,"Mouse"
"370","AASS",NA,NA,1.08755390162067,"Mouse"
"371","AATF",2.177494959979,"Human",1.44226875624743,"Mouse"
"372","AATK",1.62782303811073,"Human",2.58767477267058,"Mouse"
"373","AB041806",NA,NA,0.507770305003864,"Mouse"
"374","ABAT",1.71676412144751,"Human",2.87363252040642,"Mouse"
"375","ABCA1",NA,NA,0.507770305003864,"Mouse"
"376","ABCA11P",0.586430352952502,"Human",NA,NA
"377","ABCA2",1.48952033994445,"Human",1.95492833634608,"Mouse"
"378","ABCA3",1.28540035728852,"Human",1.94552086782425,"Mouse"
"379","ABCA5",1.70037370525934,"Human",1.06407280577115,"Mouse"
"380","ABCA6",NA,NA,0.285921555387507,"Mouse"
"381","ABCA7",0.586430352952502,"Human",0.954928336346083,"Mouse"
"382","ABCA8",0.98437036162454,"Human",NA,NA
"383","ABCA8A",NA,NA,0.285921555387507,"Mouse"
"384","ABCA8B",NA,NA,0.410860291995807,"Mouse"
"385","ABCA9",NA,NA,0.808800300667845,"Mouse"
"386","ABCB1",0.586430352952502,"Human",NA,NA
"387","ABCB10",1.18849034428046,"Human",1.56467515634034,"Mouse"
"388","ABCB1A",NA,NA,1.13101959540176,"Mouse"
"389","ABCB1B",NA,NA,0.922743652974682,"Mouse"
"390","ABCB4",NA,NA,0.586951551051488,"Mouse"
"391","ABCB6",1.99297053338646,"Human",1.62834423620971,"Mouse"
"392","ABCB7",0.586430352952502,"Human",1.57222829423078,"Mouse"
"393","ABCB8",0.98437036162454,"Human",1.24016406482683,"Mouse"
"394","ABCB9",1.71676412144751,"Human",1.86949814102146,"Mouse"
"395","ABCC1",0.586430352952502,"Human",0.76304281010717,"Mouse"
"396","ABCC10",0.586430352952502,"Human",1.10983029633183,"Mouse"
"397","ABCC12",1.18849034428046,"Human",NA,NA
"398","ABCC3",NA,NA,1.03924922204612,"Mouse"
"399","ABCC4",NA,NA,1.01292028332377,"Mouse"
"400","ABCC5",2.29823758199369,"Human",1.71189028765979,"Mouse"
"401","ABCC8",1.51584927866679,"Human",1.43204959106575,"Mouse"
"402","ABCC9",NA,NA,0.410860291995807,"Mouse"
"403","ABCD1",0.762521612008183,"Human",1.54916299016209,"Mouse"
"404","ABCD2",NA,NA,0.711890287659788,"Mouse"
"405","ABCD3",1.56415395824135,"Human",2.29735101716829,"Mouse"
"406","ABCD4",1.56415395824135,"Human",1.20674030933988,"Mouse"
"407","ABCE1",1.06355160767216,"Human",0.85019298582607,"Mouse"
"408","ABCF1",NA,NA,2.10105637202432,"Mouse"
"409","ABCF2",1.28540035728852,"Human",1.69529102584033,"Mouse"
"410","ABCF3",1.48952033994445,"Human",1.03924922204612,"Mouse"
"411","ABCG1",1.36458160333615,"Human",0.586951551051488,"Mouse"
"412","ABCG2",0.887460348616483,"Human",1.38858389728465,"Mouse"
"413","ABCG4",1.23964286672785,"Human",2.13308275596554,"Mouse"
