"","associated_gene","Human","Human_Detected_Num_Isoseq","Human_Known_Num_Gencode","Human_Normalised","Mouse","Mouse_Detected_Num_Isoseq","Mouse_Known_Num_Gencode","Mouse_Normalised","Detected","isoseq_comparison_HumanvsMouse","isoseq_comparison_MousevsHuman","isoseq_comparison_normalisedHumanvsMouse","isoseq_comparison_normalisedMousevsHuman","isoseq_comparison_diff"
"17589","ADGRL1","Human",4,8,0.5,"Mouse",12,10,1.2,"Both",0.333333333333333,3,0.416666666666667,2.4,8
"17590","ADGRL2","Human",2,22,0.0909090909090909,"Mouse",3,20,0.15,"Both",0.666666666666667,1.5,0.606060606060606,1.65,1
"17591","ADGRL3","Human",4,18,0.222222222222222,"Mouse",5,35,0.142857142857143,"Both",0.8,1.25,1.55555555555556,0.642857142857143,1
"17594","ADGRL4","Human",1,17,0.0588235294117647,"Mouse",3,9,0.333333333333333,"Both",0.333333333333333,3,0.176470588235294,5.66666666666667,2
"17600","ADH5","Human",2,13,0.153846153846154,"Mouse",2,7,0.285714285714286,"Both",1,1,0.538461538461539,1.85714285714286,0
"17609","ADHFE1","Human",4,16,0.25,"Mouse",4,5,0.8,"Both",1,1,0.3125,3.2,0
"17610","ADI1","Human",1,3,0.333333333333333,"Mouse",2,3,0.666666666666667,"Both",0.5,2,0.5,2,1
"17617","ADIPOR1","Human",4,5,0.8,"Mouse",5,4,1.25,"Both",0.8,1.25,0.64,1.5625,1
"17620","ADIPOR2","Human",1,7,0.142857142857143,"Mouse",3,5,0.6,"Both",0.333333333333333,3,0.238095238095238,4.2,2
"17623","ADK","Human",3,6,0.5,"Mouse",9,10,0.9,"Both",0.333333333333333,3,0.555555555555556,1.8,6
"17624","ADM","Human",3,8,0.375,"Mouse",2,2,1,"Both",1.5,0.666666666666667,0.375,2.66666666666667,1
"17627","ADNP","Human",1,8,0.125,"Mouse",3,4,0.75,"Both",0.333333333333333,3,0.166666666666667,6,2
"17629","ADNP2","Human",1,5,0.2,"Mouse",1,1,1,"Both",1,1,0.2,5,0
"17631","ADORA1","Human",9,9,1,"Mouse",9,4,2.25,"Both",1,1,0.444444444444444,2.25,0
"17632","ADORA2A","Human",1,15,0.0666666666666667,"Mouse",1,4,0.25,"Both",1,1,0.266666666666667,3.75,0
"17634","ADORA2B","Human",1,2,0.5,"Mouse",1,1,1,"Both",1,1,0.5,2,0
"17637","ADPGK","Human",1,14,0.0714285714285714,"Mouse",2,5,0.4,"Both",0.5,2,0.178571428571429,5.6,1
"17641","ADPRHL2","Human",2,1,2,"Mouse",4,4,1,"Both",0.5,2,2,0.5,2
"17642","ADPRM","Human",2,4,0.5,"Mouse",5,6,0.833333333333333,"Both",0.4,2.5,0.6,1.66666666666667,3
"17644","ADRA1B","Human",1,3,0.333333333333333,"Mouse",1,4,0.25,"Both",1,1,1.33333333333333,0.75,0
