"","associated_gene","Human (Adult)_Detected_LogTPM_Isoseq","Human (Adult)","Human (Fetal)_Detected_LogTPM_Isoseq","Human (Fetal)"
"165","AC025165.3",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"166","AC025165.5_TSFM",NA,NA,1.01141651999805,"Human (Fetal)"
"167","AC025839.1",1.32062013023888,"Human (Adult)",NA,NA
"168","AC026273.1",1.07758208155258,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"169","AC026362.1",NA,NA,1.01141651999805,"Human (Fetal)"
"170","AC026412.1",1.07758208155258,"Human (Adult)",NA,NA
"171","AC027031.2_OXR1",1.7765520858886,"Human (Adult)",NA,NA
"172","AC027237.1",NA,NA,1.31244651566203,"Human (Fetal)"
"173","AC027307.3_RPS15",0.776552085888602,"Human (Adult)",NA,NA
"174","AC027682.6",1.17449209456064,"Human (Adult)",NA,NA
"175","AC034102.1",2.7677781615811,"Human (Adult)",1.71038652433407,"Human (Fetal)"
"176","AC034111.2",0.776552085888602,"Human (Adult)",NA,NA
"177","AC040162.1",NA,NA,1.01141651999805,"Human (Fetal)"
"178","AC044860.1",NA,NA,1.55548456434833,"Human (Fetal)"
"179","AC055839.2",3.04489599983967,"Human (Adult)",2.69715825860032,"Human (Fetal)"
"180","AC063960.2",0.776552085888602,"Human (Adult)",NA,NA
"181","AC068308.1",0.952643344944283,"Human (Adult)",NA,NA
"182","AC068580.4",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"183","AC068587.4",0.776552085888602,"Human (Adult)",NA,NA
"184","AC068888.1",1.07758208155258,"Human (Adult)",NA,NA
"185","AC073111.4",1.37861207721656,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"186","AC073869.1",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"187","AC074143.1",1.62165012590286,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"188","AC079089.1",NA,NA,1.01141651999805,"Human (Fetal)"
"189","AC079781.4_ASNS",0.776552085888602,"Human (Adult)",NA,NA
"190","AC079781.5",1.62165012590286,"Human (Adult)",NA,NA
"191","AC079949.1",NA,NA,1.55548456434833,"Human (Fetal)"
"192","AC080013.1",1.07758208155258,"Human (Adult)",NA,NA
"193","AC080038.1",0.776552085888602,"Human (Adult)",NA,NA
"194","AC087203.3_FAM66A",NA,NA,1.01141651999805,"Human (Fetal)"
"195","AC087289.1",1.93792008812358,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"196","AC087457.1",0.776552085888602,"Human (Adult)",NA,NA
"197","AC087651.1",0.952643344944283,"Human (Adult)",NA,NA
"198","AC090044.1",0.776552085888602,"Human (Adult)",NA,NA
"199","AC090152.1",NA,NA,1.31244651566203,"Human (Fetal)"
"200","AC090517.5",1.07758208155258,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"201","AC091021.1",1.42976459966395,"Human (Adult)",2.05280920515628,"Human (Fetal)"
"202","AC091390.4",0.776552085888602,"Human (Adult)",NA,NA
"203","AC091959.3",0.776552085888602,"Human (Adult)",NA,NA
"204","AC092072.1",NA,NA,1.18750777905373,"Human (Fetal)"
"205","AC092338.1",1.79774138495854,"Human (Adult)",NA,NA
"206","AC092447.7",1.17449209456064,"Human (Adult)",NA,NA
"207","AC092683.1",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"208","AC092724.1",0.776552085888602,"Human (Adult)",NA,NA
"209","AC092881.1",1.51691477538285,"Human (Adult)",1.96565902943738,"Human (Fetal)"
"210","AC093323.1",1.70597101160289,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"211","AC093512.2",1.25367334060826,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"212","AC093673.1",0.776552085888602,"Human (Adult)",NA,NA
"213","AC093673.2_ZYX",NA,NA,1.01141651999805,"Human (Fetal)"
"214","AC096537.1",NA,NA,1.01141651999805,"Human (Fetal)"
"215","AC096564.1",0.776552085888602,"Human (Adult)",NA,NA
"216","AC097467.3",0.776552085888602,"Human (Adult)",NA,NA
"217","AC097534.2",0.776552085888602,"Human (Adult)",NA,NA
"218","AC098850.3",NA,NA,1.31244651566203,"Human (Fetal)"
"219","AC098850.4",NA,NA,1.01141651999805,"Human (Fetal)"
"220","AC099336.1_PPP1R12B",NA,NA,1.18750777905373,"Human (Fetal)"
"221","AC100810.1",NA,NA,1.01141651999805,"Human (Fetal)"
"222","AC103681.2",0.776552085888602,"Human (Adult)",NA,NA
"223","AC103974.1",0.776552085888602,"Human (Adult)",NA,NA
"224","AC104024.4",NA,NA,1.01141651999805,"Human (Fetal)"
"225","AC104986.2",1.17449209456064,"Human (Adult)",NA,NA
"226","AC105052.3",2.18309226632256,"Human (Adult)",1.91450650699,"Human (Fetal)"
"227","AC105916.1",0.776552085888602,"Human (Adult)",NA,NA
"228","AC105942.1",0.776552085888602,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"229","AC107223.1",0.952643344944283,"Human (Adult)",NA,NA
"230","AC107871.1_CLN6",1.07758208155258,"Human (Adult)",NA,NA
"231","AC108047.1",0.776552085888602,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"232","AC108471.2",NA,NA,1.01141651999805,"Human (Fetal)"
"233","AC109322.1",1.07758208155258,"Human (Adult)",NA,NA
"234","AC109635.5",0.776552085888602,"Human (Adult)",NA,NA
"235","AC110285.2",NA,NA,1.01141651999805,"Human (Fetal)"
"236","AC113382.1",NA,NA,1.01141651999805,"Human (Fetal)"
"237","AC117453.1",1.07758208155258,"Human (Adult)",NA,NA
"238","AC118549.1",0.776552085888602,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"239","AC118754.1",1.96688378405889,"Human (Adult)",NA,NA
"240","AC119673.2",NA,NA,1.01141651999805,"Human (Fetal)"
